,"Location of Terminal Market",,"All Red Tomato count  apples are tray packed. ","Type of Apple (not all varieties are grown in all origins)",,"USDA specifications for size, coloring, allowable imperfections, etc",,"Pricing in $",,,,"Where the product was grown ",,"Count size-how many apples fit into a case, so the higher the number, the smaller the apple",,,,,,,,,,,,,,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/24,36,40,38,39,WASHINGTON,,100s,,,,,,FINEAPPEAR,,,N,,,STEADY.,"occas higher",
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/24,34,35,34,34,WASHINGTON,,113s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/24,30,31,30,30,WASHINGTON,,125s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/25,42,46,45,45,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/25,40,46,43,44,WASHINGTON,,80s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.","occas lower",
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/25,37,42,39,40,WASHINGTON,,88s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.","occas 44.00",
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/25,36,40,38,39,WASHINGTON,,100s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.","occas 42.00",
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/25,34,35,34,34,WASHINGTON,,113s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/25,30,31,30,30,WASHINGTON,,125s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/26,42,46,45,45,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/26,40,46,43,44,WASHINGTON,,80s,,,,,,FINEAPPEAR,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/26,37,42,39,40,WASHINGTON,,88s,,,,,,FINEAPPEAR,,,N,,,STEADY.,"occas 44.00",
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/26,36,40,38,39,WASHINGTON,,100s,,,,,,FINEAPPEAR,,,N,,,STEADY.,"occas 42.00",
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/26,34,35,34,34,WASHINGTON,,113s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/26,30,31,30,30,WASHINGTON,,125s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/27,42,46,45,45,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/27,40,46,43,44,WASHINGTON,,80s,,,,,,FINEAPPEAR,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/27,37,42,39,40,WASHINGTON,,88s,,,,,,FINEAPPEAR,,,N,,,STEADY.,"occas 44.00",
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/27,36,40,38,39,WASHINGTON,,100s,,,,,,FINEAPPEAR,,,N,,,STEADY.,"occas 42.00",
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/27,34,35,34,34,WASHINGTON,,113s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/27,30,31,30,30,WASHINGTON,,125s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/28,42,46,45,45,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/28,40,46,43,44,WASHINGTON,,80s,,,,,,FINEAPPEAR,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/28,37,42,39,40,WASHINGTON,,88s,,,,,,FINEAPPEAR,,,N,,,STEADY.,"occas 44.00",
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/28,36,40,38,39,WASHINGTON,,100s,,,,,,FINEAPPEAR,,,N,,,STEADY.,"occas 42.00",
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/28,34,35,34,34,WASHINGTON,,113s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,WAExFcy,2018/09/28,30,31,30,30,WASHINGTON,,125s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,Organic,"cartons tray pack",GALA,,WAExFcy,2018/09/20,45,45,,,WASHINGTON,,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,Organic,"cartons tray pack",GALA,,WAExFcy,2018/09/21,45,45,,,WASHINGTON,,90s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,Organic,"cartons tray pack",GALA,,WAExFcy,2018/09/24,45,45,,,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,Organic,"cartons tray pack",GALA,,WAExFcy,2018/09/25,45,45,,,WASHINGTON,,88s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,Organic,"cartons tray pack",GALA,,WAExFcy,2018/09/26,45,45,,,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,Organic,"cartons tray pack",GALA,,WAExFcy,2018/09/27,45,45,,,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,Organic,"cartons tray pack",GALA,,WAExFcy,2018/09/28,45,45,,,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/21,31,31,,,"NEW YORK",,80s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/24,31,31,,,"NEW YORK",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/25,31,31,,,"NEW YORK",,80s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/25,36,36,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/25,36,36,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/26,31,31,,,"NEW YORK",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/26,36,36,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/26,36,36,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/27,31,31,,,"NEW YORK",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/27,36,36,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/27,36,36,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/28,31,31,,,"NEW YORK",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/28,36,36,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",GALA,,"U.S. ExFcy",2018/09/28,36,36,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/04,30,30,,,WASHINGTON,,"2 1/2"" min",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/05,30,30,,,WASHINGTON,,"2 1/2"" min",,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/06,30,30,,,WASHINGTON,,"2 1/2"" min",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/07,30,30,,,WASHINGTON,,"2 1/2"" min",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/10,30,30,,,WASHINGTON,,"2 1/2"" min",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/11,30,30,,,WASHINGTON,,"2 1/2"" min",,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/12,30,30,,,WASHINGTON,,"2 1/2"" min",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/13,30,30,,,WASHINGTON,,"2 1/2"" min",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/14,30,30,,,WASHINGTON,,"2 1/2"" min",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/17,30,30,,,WASHINGTON,,"2 1/2"" min",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/25,28,28,,,WASHINGTON,,"2 1/2"" up",,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/26,28,28,,,WASHINGTON,,"2 1/2"" up",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/27,28,28,,,WASHINGTON,,"2 1/2"" up",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons 12 3-lb film bags",GALA,,WAExFcy,2018/09/28,28,28,,,WASHINGTON,,"2 1/2"" up",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/05,24,24,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/06,24,24,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/07,24,24,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/10,24,24,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/11,24,24,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/12,24,24,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/13,24,24,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/14,24,24,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/17,24,24,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/21,22,22,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/24,22,22,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/25,22,22,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/26,22,22,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/27,22,22,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",GALA,,"No Grade Marks",2018/09/28,22,22,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/04,34,34,,,CHILE,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/04,34,34,,,CHILE,,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/05,34,34,,,CHILE,,80s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/05,34,34,,,CHILE,,90s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/06,34,34,,,CHILE,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/06,34,34,,,CHILE,,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/07,34,34,,,CHILE,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/07,34,34,,,CHILE,,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/10,34,34,,,CHILE,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/10,34,34,,,CHILE,,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/11,34,34,,,CHILE,,80s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/11,34,34,,,CHILE,,90s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/12,34,34,,,CHILE,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/12,34,34,,,CHILE,,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/13,34,34,,,CHILE,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/13,34,34,,,CHILE,,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/14,34,34,,,CHILE,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/14,34,34,,,CHILE,,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/17,34,34,,,CHILE,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/17,34,34,,,CHILE,,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/18,34,34,,,CHILE,,80s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/18,34,34,,,CHILE,,90s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/19,34,34,,,CHILE,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/19,34,34,,,CHILE,,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/20,34,34,,,CHILE,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/20,34,34,,,CHILE,,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/21,34,34,,,CHILE,,80s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/21,34,34,,,CHILE,,90s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/24,34,34,,,CHILE,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",GALA,,,2018/09/24,34,34,,,CHILE,,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,Organic,"18 kg cartons tray pack",GALA,,,2018/09/04,62,62,,,ARGENTINA,,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/04,30,30,,,"NEW ZEALAND",,70s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/04,32,34,33,33,"NEW ZEALAND",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/04,30,30,,,"NEW ZEALAND",,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/04,30,30,,,"NEW ZEALAND",,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/05,30,30,,,"NEW ZEALAND",,70s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/05,32,35,33,33,"NEW ZEALAND",,80s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/05,30,30,,,"NEW ZEALAND",,90s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/05,30,30,,,"NEW ZEALAND",,100s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/06,30,30,,,"NEW ZEALAND",,70s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/06,32,35,33,33,"NEW ZEALAND",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/06,30,30,,,"NEW ZEALAND",,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/06,30,30,,,"NEW ZEALAND",,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/07,30,30,,,"NEW ZEALAND",,70s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/07,32,35,33,33,"NEW ZEALAND",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/07,30,30,,,"NEW ZEALAND",,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/07,30,30,,,"NEW ZEALAND",,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/10,30,30,,,"NEW ZEALAND",,70s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/10,32,35,33,33,"NEW ZEALAND",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/10,30,30,,,"NEW ZEALAND",,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/10,30,30,,,"NEW ZEALAND",,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/11,30,32,31,31,"NEW ZEALAND",,70s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/11,32,35,33,33,"NEW ZEALAND",,80s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/11,30,30,,,"NEW ZEALAND",,90s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/11,30,30,,,"NEW ZEALAND",,100s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/12,30,32,31,31,"NEW ZEALAND",,70s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/12,32,35,33,33,"NEW ZEALAND",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/12,30,30,,,"NEW ZEALAND",,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/12,30,30,,,"NEW ZEALAND",,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/13,30,32,31,31,"NEW ZEALAND",,70s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/13,32,35,33,33,"NEW ZEALAND",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/13,30,30,,,"NEW ZEALAND",,90s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/13,30,30,,,"NEW ZEALAND",,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/14,30,32,31,31,"NEW ZEALAND",,70s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"18 kg cartons tray pack",BRAEBURN,,,2018/09/14,32,35,33,33,"NEW ZEALAND",,80s,,,,,,,,,N,,,STEADY.,,
