SITE_NAME,SITE_TYPE,SITE_ADDRESS_1,SITE_ADDRESS_2,SITE_CITY,SITE_STATE,SITE_ZIP,SITE_PHONE,SITE_PHONE_EXT,CONTACT_FIRST_NAME,CONTACT_LAST_NAME,CONTACT_PHONE,SPONSORING_ORGANIZATION,START_DATE,END_DATE,DAYS_OF_OPERATION,HOURS_OPEN,BREAKFAST_TIME,LUNCH_TIME,SNACK_TIME,SUPPER_TIME,MEAL_TYPES_SERVED
"WEST SOMERVILLE NGHBRHD SCHOOL (SF-60-004)",Open,"177 POWDERHOUSE BLVD."," ",SOMERVILLE,MA,2144,617-625-6600,6780,George,Scarpelli,617-625-6600,"Somerville Public Schools (09-274-SF-60)",2018/07/05,2018/08/10,"M,T,W,TH,F","08:45 AM - 01:00 PM",08:45:00,12:30:00," "," ","B,L"
"HEALEY SCHOOL (SF-60-005)",Open,"5 MEACHAM STREET"," ",SOMERVILLE,MA,2145,617-625-6600,6780,Jennie,McGoldrick,617-625-6600,"Somerville Public Schools (09-274-SF-60)",2018/07/05,2018/08/10,"M,T,W,TH,F","08:15 AM - 12:15 PM",08:15:00,11:30:00," "," ","B,L"
"KIDSTOP @ POWDERHOUSE PARK (SF-60-009)",Open,"COLLEGE AVE. & BROADWAY"," ",SOMERVILLE,MA,2144,617-625-6600,6780,George,Scarpelli,617-625-6600,"Somerville Public Schools (09-274-SF-60)",2018/07/05,2018/08/10,"M,T,W,TH","09:30 AM - 10:00 AM",09:30:00," "," "," ",B
"LATTA BROS. MDC POOL/FOSS PK. (SF-60-011)",Open,"BROADWAY & MC GRATH HWAY."," ",SOMERVILLE,MA,2143,617-512-7379," ",Steve,Spears,617-727-1058,"Somerville Public Schools (09-274-SF-60)",2018/07/05,2018/08/10,"M,T,W,TH,F","09:30 AM - 12:15 PM",09:30:00,11:45:00," "," ","B,L"
"MYSTIC PLAYGROUND (SF-60-029)",Open,"30 Memorial Road"," ",SOMERVILLE,MA,2143,617-628-2366," ",Lauren,Mancini,617-625-6600,"Somerville Public Schools (09-274-SF-60)",2018/07/05,2018/08/10,"M,T,W,TH,F","11:00 AM - 11:30 AM"," ",11:00:00," "," ",L
"J F KENNEDY SCHOOL (SF-60-045)",Open,"5 CHERRY STREET"," ",SOMERVILLE,MA,2144,617-625-6600,6780,Lauren,Mancini,617-625-6600,"Somerville Public Schools (09-274-SF-60)",2018/07/05,2018/08/10,"M,T,W,TH,F","08:00 AM - 12:30 PM",08:00:00,12:00:00," "," ","B,L"
"BOATHOUSE-SHORE DRIVE (SF-60-068)",Open,"32 Shore Drive"," ",Somerville,MA,2144,617-625-6600,6780,Josh,Weiend,617-217-8566,"Somerville Public Schools (09-274-SF-60)",2018/07/05,2018/08/10,"M,T,W,TH,F","11:45 AM - 12:15 PM"," ",11:45:00," "," ",L
"Somerville Parks and Recreation (SF-60-079)",Closed,"541 Broadway"," ",Somerville,MA,2145,857-363-1113," ",Miguel,Torres," ","Somerville Public Schools (09-274-SF-60)",2018/07/09,2018/07/13,"M,T,W,TH,F","11:45 AM - 12:15 PM"," ",11:45:00," "," ",L
"COME OUTSIDE AND PLAY HODGKINS PARK (SF-60-082)",Open,"114 Holland Street","Hodgkins Park",Somerville,MA,2144,617-625-6600,6083,Lauren,Mancini,617-625-6600,"Somerville Public Schools (09-274-SF-60)",2018/07/16,2018/07/20,"M,T,W,TH,F","11:45 AM - 12:15 PM"," ",11:45:00," "," ",L
"COME OUTSIDE AND PLAY KENNEDY (SF-60-084)",Open,"5 Cherry Street","Kennedy School Playground",Somerville,MA,2144,617-625-6600,6083,Lauren,Mancini,617-625-6600,"Somerville Public Schools (09-274-SF-60)",2018/07/30,2018/08/03,"M,T,W,TH,F","11:45 AM - 12:15 PM"," ",11:45:00," "," ",L
"COME OUTSIDE AND PLAY WALNUT Street (SF-60-088)",Open,"19 Walnut Street"," ",Somerville,MA,2143,617-625-6600,6083,Lauren,Mancini,617-625-6600,"Somerville Public Schools (09-274-SF-60)",2018/07/05,2018/08/10,"M,T,W,TH,F","11:45 AM - 12:15 PM"," ",11:45:00," "," ",L
"EAST SOMERVILLE COMMUNITY SCHOOL (SF-60-089)",Closed,"50 Cross Street"," ",Somerville,MA,2145,617-625-6600,3751,Lauren,Mancini,617-625-6600,"Somerville Public Schools (09-274-SF-60)",2018/07/05,2018/08/10,"M,T,W,TH,F","07:30 AM - 01:00 PM",07:30:00,11:40:00," "," ","B,L"
"ARGENZIANO (SF-60-092)",Closed,"290 Washington Street"," ",Somerville,MA,2143,617-425-6600,6384,Lauren,Mancini,617-425-6600,"Somerville Public Schools (09-274-SF-60)",2018/07/05,2018/08/10,"M,T,W,TH,F","12:20 AM - 12:50 PM",07:30:00,00:20:00," "," ","B,L"
"LEXINGTON PARK (SF-60-093)",Open,"45 Lexington Ave."," ",Somerville,MA,2144,617-625-6600,6083,Lauren,Mancini,617-625-6600,"Somerville Public Schools (09-274-SF-60)",2018/07/23,2018/07/27,"M,T,W,TH,F","11:45 AM - 12:15 PM"," ",11:45:00," "," ",L
"CAPUANO PLAYGROUND (SF-60-094)",Open,"150 Glen Street"," ",Somerville,MA,2145,617-625-6600,6083,Lauren,Mancini,617-625-6600,"Somerville Public Schools (09-274-SF-60)",2018/08/06,2018/08/10,"M,T,W,TH,F","11:45 AM - 12:15 PM"," ",11:45:00," "," ",L
"WALTHAM BOYS AND GIRLS CLUB (SF-106-001)",Open,"20 EXCHANGE STREET"," ",WALTHAM,MA,2451,781-893-6620,20,Nick,Cacciolfi,781-893-6620,"Waltham Boys and Girls Club Inc. (09-308-SF-106)",2018/06/25,2018/08/24,"M,T,W,TH,F","08:00 AM - 08:45 AM",08:00:00," "," "," ",B
"CHESTERBROOK GARDENS HOUSING (SF-106-002)",Open,"22 BROOKWAY ROAD"," ",WALTHAM,MA,2452,781-893-6620,20,Nick,Cacciolfi,781-893-6620,"Waltham Boys and Girls Club Inc. (09-308-SF-106)",2018/06/25,2018/08/24,"M,T,W,TH,F","01:00 PM - 01:20 PM"," ",13:00:00," "," ",L
"WATCH CITY CAMP (SF-106-003)",Closed,"20 Exchange St."," ",Waltham,MA,2451,781-893-6620,20,Nick,Cacciolfi,781-893-6620,"Waltham Boys and Girls Club Inc. (09-308-SF-106)",2018/06/25,2018/08/24,"M,T,W,TH,F","12:00 PM - 04:00 PM"," ",12:00:00,15:30:00," ","L,A"
"MACDONALD PLAYGROUND (SF-106-004)",Open,"8 CUTTER STREET"," ",WALTHAM,MA,2451,781-893-6620," ",Nick,Cacciolfi,781-893-6620,"Waltham Boys and Girls Club Inc. (09-308-SF-106)",2018/06/25,2018/08/24,"M,T,W,TH,F","11:15 AM - 11:40 AM"," ",11:15:00," "," ",L
"HENRY WHITTEMORE ELEMENTARY SCHOOL (SF-106-006)",Closed,"30 Parmenter Rd"," ",Waltham,MA,2453,7818936620,20,Nick,Cacciolfi,7818936620,"Waltham Boys and Girls Club Inc. (09-308-SF-106)",2018/07/09,2018/08/03,"M,T,W,TH,F","08:20 AM - 12:45 PM",08:20:00,12:00:00," "," ","B,L"
"PLYMPTON ELEMENTARY SCHOOL (SF-106-007)",Open,"3 Hazel Street"," ",Waltham,MA,2451,781-893-6620,22,Nick,Cacciolfi,781-893-6620,"Waltham Boys and Girls Club Inc. (09-308-SF-106)",2018/06/25,2018/08/24,"M,T,W,TH,F","08:00 AM - 12:45 PM",08:00:00,11:15:00," "," ","B,L"
"CONNORS POOL (SF-106-009)",Open,"330 River Street"," ",Waltham,MA,2453,7818936620,20,Nick,Cacciolfi,7818936620,"Waltham Boys and Girls Club Inc. (09-308-SF-106)",2018/06/25,2018/08/24,"M,T,W,TH,F","11:30 AM - 02:00 PM"," ",11:30:00," "," ",L
"WALTHAM PUBLIC LIBRARY (SF-106-019)",Open,"735 Main Street"," ",Waltham,MA,2451,781-893-6620," ",Nick,Cacciolfi,781-893-6620,"Waltham Boys and Girls Club Inc. (09-308-SF-106)",2018/06/25,2018/08/24,"M,T,W,TH,F","01:00 PM - 01:30 PM"," ",13:00:00," "," ",L
"PETER GILMORE PLAYGROUND (SF-106-020)",Open,"96 Hill Street"," ",Waltham,MA,2453,781-893-6620," ",Nick,Cacciolfi,781-893-6620,"Waltham Boys and Girls Club Inc. (09-308-SF-106)",2018/06/25,2018/08/24,"M,T,W,TH,F","01:00 PM - 01:45 PM"," ",13:00:00," "," ",L
"MCDEVITT MIDDLE SCHOOL (SF-106-021)",Closed,"75 Church Street"," ",Waltham,MA,2452,781-893-6620," ",Nick,Cacciolfi,781-893-6620,"Waltham Boys and Girls Club Inc. (09-308-SF-106)",2018/07/09,2018/08/03,"M,T,W,TH,F","08:00 AM - 12:45 PM",08:00:00,12:00:00," "," ","B,L"
"HOME SUITES INN-ABCD TRANSITIONAL HOUSIN (SF-106-022)",Open,"455 Totten Pond Rd."," ",Waltham,MA,2451,781-890-3000," ",Nick,Cacciolfi,781-890-3000,"Waltham Boys and Girls Club Inc. (09-308-SF-106)",2018/06/25,2018/08/24,"M,T,W,TH,F","01:35 PM - 02:00 PM"," ",13:35:00," "," ",L
"Fitch Spray Park (SF-106-14)",Open,"14 Ash Street"," ",Waltham,MA,2453,781-893-6620,20,Nick,Cacciolfi,781-893-6620,"Waltham Boys and Girls Club Inc. (09-308-SF-106)",2018/06/25,2018/08/24,"M,T,W,TH,F","11:15 AM - 11:40 AM"," ",11:15:00," "," ",L
"HORIZONS AT DEDHAM COUNTRY DAY (SF-208-001)",Closed,"90 SANDY VALLEY ROD."," ",DEDHAM,MA,2026,781-915-2626," ",Meredith,Laban,781.915.2626,"Horizons At Dedham Country Day (11-073-SF-208)",2018/06/29,2018/08/10,"M,T,W,TH,F","08:30 AM - 01:00 PM",08:30:00,12:00:00," "," ","B,L"
"HORIZONS AT LEXINGTON MONTESSORI (SF-208-002)",Closed,"130 Pleasant Street"," ",Lexington,MA,2421,781-862-8571," ",Kimberly,Donald," ","Horizons At Dedham Country Day (11-073-SF-208)",2018/07/09,2018/08/17,"M,T,W,TH,F","12:30 PM - 01:30 PM"," ",12:30:00," "," ",L
"DEDHAM PUBLIC LIBRARY (SF-287-001)",Open,"43 Church St."," ",Dedham,MA,2026,781-751-9284," ",Amber,Moroney," ","Town of Dedham-Public Library (11-073-SF-287)",2018/06/25,2018/08/31,"M,T,W,TH,F","09:30 AM - 02:00 PM",09:30:00,12:00:00," "," ","B,L"
"PARKER ELEMENTARY SCHOOL (SF-114-001)",Open,"148 BILLINGS ROAD"," ","NORTH QUINCY",MA,2169,617-984-8710," ",Frances,Malames,617-984-8626,"Quincy Public Schools (11-243-SF-114)",2018/07/05,2018/08/18,"M,T,W,TH,F","09:00 AM - 01:00 PM"," ",11:00:00,09:00:00," ","L,M"
"LINCOLN HANCOCK SCHOOL (SF-114-002)",Open,"300 GRANITE STREET"," ",QUINCY,MA,2169,617-984-8717," ",Nancy,Scarnici,617-984-8717,"Quincy Public Schools (11-243-SF-114)",2018/07/05,2018/08/17,"M,T,W,TH,F","11:00 AM - 01:00 PM"," ",11:00:00," "," ",L
"HAPPY ACRES DAY CAMP (SF-114-004)",Closed,"1 MERRYMOUNT PARKWAY"," ",QUINCY,MA,2169,617-376-1386," ",YVONNE,BONESS,617-376-1380,"Quincy Public Schools (11-243-SF-114)",2018/07/05,2018/08/09,"M,T,W,TH,F","11:00 AM - 01:00 PM"," ",11:00:00," "," ",L
"SNUG HARBOR SCHOOL (SF-114-007)",Open,"333 PALMER STREET"," ",QUINCY,MA,2169,617-376-1384," ",Site,Supervisor,617-984-8763,"Quincy Public Schools (11-243-SF-114)",2018/07/05,2018/08/17,"M,T,W,TH,F","08:00 AM - 01:00 PM"," ",11:00:00,08:00:00," ","L,M"
"IDIIL/LEARNING FOUNDATION (SF-114-011)",Closed,"440 Hancock Street"," ","NORTH QUINCY",MA,2171,617-388-4984," ",Daniela,Beluendouz,617-212-1527,"Quincy Public Schools (11-243-SF-114)",2018/07/05,2018/08/31,"M,T,W,TH,F","12:00 PM - 04:00 PM"," ",12:00:00,15:30:00," ","L,A"
"WARD 11 COMM.CTR -FORE RIVER (SF-114-013)",Open,"16 NEVADA ROAD"," ",QUINCY,MA,2169,617-472-9479," ",Glecelyn,Honrado,617-472-9479,"Quincy Public Schools (11-243-SF-114)",2018/07/05,2018/08/17,"M,T,W,TH,F","11:00 AM - 01:00 PM"," ",11:00:00," "," ",L
"DELLA CHIESA EARLY CHILDHOOD CENTER (SF-114-018)",Closed,"100 Brooks Avenue"," ",Quincy,MA,2169,617-984-8777," ",Megan,Ciesluk,617-984-8777,"Quincy Public Schools (11-243-SF-114)",2018/07/02,2018/08/02,"M,T,W,TH","08:30 AM - 10:30 AM"," "," ",08:30:00," ",M
"SOUTH SHORE YMCA (SF-114-020)",Closed,"333 Palmer Street"," ",Quincy,MA,2170,617-479-8500,119,Jean,Bishop," ","Quincy Public Schools (11-243-SF-114)",2018/07/05,2018/08/17,"M,T,W,TH,F","11:30 AM - 02:00 PM"," ",11:30:00," "," ",L
"MONTCLAIR ELEMENTARY SCHOOL (SF-114-021)",Open,"8 Belmont Street"," ",Quincy,MA,2171,617-984-8708," ",Peggy,Sacchetti," ","Quincy Public Schools (11-243-SF-114)",2018/07/05,2018/08/17,"M,T,W,TH,F","11:00 AM - 01:00 PM"," ",11:00:00," "," ",L
"CLIFFORD MARSHALL (SF-114-022)",Closed,"200 Moody St. Extension"," ",Quincy,MA,2169,617-984-8721," ",Nick,Ahearn,617-984-8721,"Quincy Public Schools (11-243-SF-114)",2018/07/09,2018/08/02,"M,T,W,TH","08:30 AM - 12:30 PM"," ",11:30:00,08:30:00," ","L,M"
"DEVELOPMENTAL LEARNING CENTER (SF-114-027)",Closed,"100 CODDINGTON ST","QUINCY HIGH SCHOOL",Quincy,MA,2169,617-984-8768," ",Andrew,Joseph," ","Quincy Public Schools (11-243-SF-114)",2018/07/09,2018/08/03,"M,T,W,TH,F","09:30 AM - 12:30 PM"," "," ",09:30:00," ",M
"QUINCY WIC (SF-114-029)",Open,"121 WHITWELL ST"," ",QUINCY,MA,2169,617-376-8701," ",EUGENIA,BODENLOS,ABOVE,"Quincy Public Schools (11-243-SF-114)",2018/07/05,2018/08/17,"T,W,TH","11:00 AM - 02:00 PM"," ",11:00:00," "," ",L
"BROADMEADOWS MIDDLE SCHOOL (SF-114-030)",Closed,"50 CALVIN ROAD"," ",Quincy,MA,2169,617-984-8778," ",SARA,DUFOUR,617-984-8768,"Quincy Public Schools (11-243-SF-114)",2018/07/05,2018/08/17,"M,T,W,TH,F","11:00 AM - 01:00 PM"," ",11:00:00," "," ",L
"N QUINCY HIGH SCHOOL DEVELOPMENTAL LEARN (SF-114-031)",Closed,"316 HANCOCK STREET"," ",QUINCY,MA,2171,617-984-8870," ",SARA,DUFOUR,617-984-8768,"Quincy Public Schools (11-243-SF-114)",2018/07/02,2018/08/02,"M,T,W,TH","09:30 AM - 12:30 PM"," "," ",09:30:00," ",M
"CENTRAL MIDDLE SCHOOL SUMMER INSTITUTE S (SF-114-032)",Closed,"875 HANCOCK STREET"," ",QUINCY,MA,2169,617-376-5211," ",COURTNEY,MITCHELL,617-376-5211,"Quincy Public Schools (11-243-SF-114)",2018/07/09,2018/08/03,"M,T,W,TH","08:30 AM - 12:00 PM"," "," ",08:30:00," ",M
"IMAGINATION STATION PLAYGROUND (SF-201-001)",Closed,"BELCHER PARK PARK STREET"," ",Randolph,MA,2368,781-961-0939," ",Liz,Sauro,781-961-9236,"Randolph Public Schools (11-244-SF-201)",2018/06/26,2018/08/25,"M,T,W,TH","08:00 AM - 12:30 PM",08:00:00,11:30:00," "," ","B,L"
"MARTIN YOUNG SCHOOL (SF-201-002)",Closed,"30 LOU COURTNEY AVE"," ",RANDOLPH,MA,2368,781-961-6258," ",Liz,Sauro,781-961-6236,"Randolph Public Schools (11-244-SF-201)",2018/06/26,2018/08/26,"M,T,W,TH,F","08:00 AM - 12:30 PM",08:00:00,11:30:00," "," ","B,L"
"RANDOLPH HIGH SCHOOL (SF-201-003)",Closed,"70 MEMORIAL PARKWAY"," ",RANDOLPH,MA,2468,781-961-6236," ",Liz,Sauro,781-961-6236,"Randolph Public Schools (11-244-SF-201)",2018/07/05,2018/08/29,"M,T,W,TH,F","08:15 AM - 12:15 PM",08:15:00,11:15:00," "," ","B,L"
"RANDOLPH COMMUNITY MIDDLE SCHOOL (SF-201-004)",Closed,"225 High Street"," ",Randolph,MA,2368,781-961-6243," ",Liz,Sauro,781-961-6236,"Randolph Public Schools (11-244-SF-201)",2018/07/09,2018/08/25,"M,T,W,TH","08:30 AM - 12:30 PM",08:30:00,11:30:00," "," ","B,L"
"RANDOLPH PUBLIC LIBRARY (SF-201-010)",Open,"2 NORTH MAIN ST."," ",Randolph,MA,2368,781-961-0932," ",Meghan,James,781-961-0932,"Randolph Public Schools (11-244-SF-201)",2018/06/25,2018/08/25,"M,T,W,TH,F","09:00 AM - 09:30 PM",09:00:00,11:30:00," "," ","B,L"
"ELIZABETH G. LYONS ELEMENTARY SCHOOL (SF-201-011)",Closed,"60 VESEY DRIVE"," ",RANDOLPH,MA,2368,781-861-6254," ",LIZ,SAURO,781-961-6236,"Randolph Public Schools (11-244-SF-201)",2018/07/05,2018/08/10,"M,T,W,TH","07:45 AM - 12:00 PM",07:45:00,11:00:00," "," ","B,L"
"JOHN F KENNEDY ELEMENTARY SCHOOL (SF-201-015)",Closed,"20 HURLEY DRIVE"," ",RANDOLPH,MA,2368,781-961-6213," ",LIZ,SAURO,781-9761-6213,"Randolph Public Schools (11-244-SF-201)",2018/07/09,2018/08/09,"M,T,W,TH","08:30 AM - 12:00 PM",08:30:00,11:00:00," "," ","B,L"
"HOLBROOK UNITED METHODIST CHURCH (SF-201-016)",Open,"60 PLYMOUTH ST"," ",HOLBROOK,MA,2343,617-921-8098," ",DENISE,HICKEY,617-921-8098,"Randolph Public Schools (11-244-SF-201)",2018/06/25,2018/08/30,"M,W","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"JAMES M. HURLEY SENIOR CENTER (SF-201-017)",Closed,"16 Fencourt Avenue"," ",Randolph,MA,2368,617-257-1141," ",Doris,"Silva Leonard"," ","Randolph Public Schools (11-244-SF-201)",2018/07/09,2018/08/17,"M,T,W,TH","09:00 AM - 12:30 PM",09:00:00,11:30:00," "," ","B,L"
"O'DONNELL MIDDLE SCHOOL (WEST) (SF-235-001)",Open,"211 Cushing St."," ",Stoughton,MA,2072,781-292-1051," ",Edward,Gilbert," ","Stoughton Public Schools (11-285-SF-235)",2018/07/09,2018/08/09,"M,T,W,TH","08:00 AM - 12:30 PM",08:00:00,10:45:00," "," ","B,L"
"SOUTH SHORE STARS SUMMER CAMP (SF-19-001)",Closed,"HALE RESERV/80 CARBY ST."," ",WESTWOOD,MA,2090,781-329-8548," ",JACLYN,MARTINSON,781-329-8548,"South Shore Stars Inc. (11-336-SF-19)",2018/07/02,2018/08/24,"M,T,W,TH,F","08:45 AM - 03:45 PM",08:45:00," ",14:20:00," ","B,A"
"SOUTH SHORE COLLABORATIVE (SF-278-001)",Closed,"75 Abington Street"," ",HINGHAM,MA,2043,339-205-8381," ",KELSEY,MASSIS,ABOVE,"Weymouth Public Schools (11-336-SF-278)",2018/07/11,2018/08/14,"M,T,W,TH","11:00 AM - 11:45 AM"," ",11:00:00," "," ",L
"WILLIAM SEACH (SF-278-002)",Open,"770 MIDDLE ST"," ",WEYMOUTH,MA,2189,339-205-8381," ",KELSEY,MASSIS,ABOVE,"Weymouth Public Schools (11-336-SF-278)",2018/07/11,2018/08/14,"M,T,W,TH","11:00 AM - 11:45 AM"," ",11:00:00," "," ",L
"CROSSROADS KIDS SUMMER ENRICHMENT (SF-278-005)",Closed,"241 BROAD ST"," ",WEYMOUTH,MA,2190,781-803-0398," ",KELSEY,MASSIS,781-803-0398,"Weymouth Public Schools (11-336-SF-278)",2018/07/11,2018/08/14,"M,T,W,TH","12:00 AM - 12:45 AM"," ",00:00:00," "," ",L
"TRINITY CATHOLIC ACADEMY (SF-044-082)",Open,"631 N. MAIN STREET"," ",BROCKTON,MA,2301,508-583-6231," ",Kirstin,Blanchette,774-223-2652,"Brockton Public Schools (12-044-SF-125)",2018/06/25,2018/08/24,"M,T,W,TH,F","08:30 AM - 12:45 PM",08:30:00,11:45:00," "," ","B,L"
"BROCKTON HIGH SCHOOL (SF-125-005)",Open,"470 FOREST AVENUE"," ",BROCKTON,MA,2301,508-944-9613," ",Karyn,Swisher,508-580-7514,"Brockton Public Schools (12-044-SF-125)",2018/06/27,2018/08/24,"M,T,W,TH,F","07:00 AM - 12:30 PM",07:00:00,10:30:00," "," ","B,L"
"DAVIS COMMONS (SF-125-008)",Open,"165 CARL AVENUE"," ",BROCKTON,MA,2301,508-583-7964," ",Robin,Joubert,508-583-7964,"Brockton Public Schools (12-044-SF-125)",2018/07/09,2018/08/24,"M,T,W,TH,F","10:00 AM - 02:00 PM",10:00:00,13:00:00," "," ","B,L"
"BATTLES FARM/DBA GREEN WOODS (SF-125-009)",Open,"225 BATTLES STREET"," ",BROCKTON,MA,2301,508-588-5791," ",Jessica,Lindstrom,508-587-5711,"Brockton Public Schools (12-044-SF-125)",2018/07/09,2018/08/24,"M,T,W,TH,F","12:30 PM - 01:30 PM"," ",12:30:00," "," ",L
"THE PINES (SF-125-010)",Open,"469 PINE GROVE DRIVE"," ",BROCKTON,MA,2301,508-584-3300," ",Jennifer,Boylan,508-584-3300,"Brockton Public Schools (12-044-SF-125)",2018/07/09,2018/08/24,"M,T,W,TH,F","08:30 AM - 01:00 PM",08:30:00,12:00:00," "," ","B,L"
"CAMP MASS./MASSASOIT COLLEGE (SF-125-015)",Open,"1 Massasoit Blvd"," ",BROCKTON,MA,3201,508-897-1297," ",Vivian,Rene,508-897-1297,"Brockton Public Schools (12-044-SF-125)",2018/07/09,2018/08/03,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"CRESENT COURT (SF-125-026)",Open,"53 PLYMOUTH STREET"," ",BROCKTON,MA,2301,508-897-1200,297,Maria,Serrano,508-468-9090,"Brockton Public Schools (12-044-SF-125)",2018/07/09,2018/08/16,"M,T,W,TH,F","11:45 AM - 01:00 PM"," ",11:45:00," "," ",L
"GOLDEN CIRCLE (SF-125-027)",Open,"Spring street"," ",BROCKTON,MA,2301,508-897-1200," ",Franciscio,Cardoso,505-897-1200,"Brockton Public Schools (12-044-SF-125)",2018/07/09,2018/08/24,"M,T,W,TH,F","03:00 PM - 04:00 PM"," "," "," ",15:00:00,S
"HILLSIDE VILLAGE (SF-125-028)",Open,"HILL STREET"," ",BROCKTON,MA,2301,508-525-7012,0,Juanita,Lima,508-525-7012,"Brockton Public Schools (12-044-SF-125)",2018/07/09,2018/08/24,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"ROSEVELT HEIGHTS (SF-125-029)",Open,"247 ARTHUR PAQUIN WAY"," ",BROCKTON,MA,2301,508-897-1200,297,Kiesha,Gordon,508-897-1200,"Brockton Public Schools (12-044-SF-125)",2018/07/09,2018/08/24,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"CAMP FLOW SUMMER ACADEMY (SF-125-049)",Open,"184 WEST ELM ST"," ",BROCKTON,MA,2301,508-894-8001," ",Sonya,Kersey,508-894-8001,"Brockton Public Schools (12-044-SF-125)",2018/07/02,2018/08/24,"M,T,W,TH,F","08:00 AM - 01:00 PM",08:00:00,12:00:00," "," ","B,L"
"BROCKTON HOUSING- WASHBURN HTS (SF-125-051)",Open,"NORTH MAIN STREET"," ",BROCKTON,MA,2301,508-427-9012," ",Lilian,Antencen,508-427-9012,"Brockton Public Schools (12-044-SF-125)",2018/07/06,2018/08/24,"M,T,W,TH,F","11:00 AM - 01:00 PM"," ",11:00:00," "," ",L
"CHATHAM WEST (SF-125-068)",Open,"202 CHATHAM WEST DRIVE"," ",BROCKTON,MA,2301,508-580-1404,16,Laudea,Andrade,508-580-1404,"Brockton Public Schools (12-044-SF-125)",2018/07/09,2018/08/24,"M,T,W,TH,F","08:30 AM - 01:00 PM",08:30:00,12:00:00," "," ","B,L"
"KEITH CENTER (SF-125-074)",Open,"175 WARREN AVENUE"," ",BROCKTON,MA,2301,508-894-4377," ",KATIE,WHITE,508-580-7786,"Brockton Public Schools (12-044-SF-125)",2018/06/28,2018/08/24,"M,T,W,TH,F","07:30 AM - 01:30 PM",07:30:00,11:30:00," "," ","B,L"
"BROCKTON HIGH SCHOOL / BAD- Tennis (SF-125-093)",Open,"470 Forest Ave"," ",Brockton,MA,2301,508-580-7123," ",Koren,Cappiello,508-580-7123,"Brockton Public Schools (12-044-SF-125)",2018/07/02,2018/08/30,"T,TH","06:00 PM - 07:00 PM"," "," "," ",18:00:00,S
"MANNING POOL at Brockton High (SF-125-095)",Open,"470 Forest Ave."," ",Brockton,MA,2301,508-580-7123," ",Koren,Cappiello,508-580-7123,"Brockton Public Schools (12-044-SF-125)",2018/07/02,2018/08/30,"M,T,W","06:00 PM - 07:00 PM"," "," "," ",18:00:00,S
"MARCIANO STADIUM (SF-125-096)",Open,"470 Forest Street"," ",Brockton,MA,2301,508-580-7123," ",Koren,Cappiello,508-580-7123,"Brockton Public Schools (12-044-SF-125)",2018/07/02,2018/08/30,"M,T,W,TH","06:00 PM - 08:00 PM"," "," "," ",18:00:00,S
"Gilmore Elementary (SF-125-101)",Open,"150 Clinton  street"," ",BROCKTON,MA,2301,508-894-4245," ",Nick,Robin,508-894-4245,"Brockton Public Schools (12-044-SF-125)",2018/07/09,2018/08/10,"M,T,W,TH,F","08:00 AM - 01:00 PM",08:00:00,12:00:00," "," ","B,L"
"WASHBURN HEIGHTS (SF-125-103)",Open,"20 CLIFFORD AVE"," ",BROCKTON,MA,2301,508-427-9067," ",Lillian,Antenor,508-427-9067,"Brockton Public Schools (12-044-SF-125)",2018/07/09,2018/08/28,"M,T,W,TH,F","11:00 AM - 01:00 PM"," ",11:00:00," "," ",L
"BROCKTON SUMMER FEST (SF-125-104)",Open,"470 Forest Street","Brockton High School",Brockton,MA,2301,508-580-7514," ",Bill,McGauley,508-580-7514,"Brockton Public Schools (12-044-SF-125)",2018/08/18,2018/08/18,SA,"11:00 AM - 02:00 PM"," ",11:00:00," "," ",L
"EDISON ACADEMY/BROCKTON HIGH (SF-125-106)",Open,"700 Belmont Street"," ",Brockton,MA,2301,508-580-7514," ",James,Cobb,508-580-7638,"Brockton Public Schools (12-044-SF-125)",2018/06/19,2018/07/18,"M,T,W,TH","04:30 PM - 05:00 PM"," "," "," ",16:30:00,S
"BAKER SCHOOL (SF-125-112)",Open,"45 QUINCY ST"," ",BROCKTON,MA,2302,508-580-7238," ",Michelle,Lanner,508-580-7238,"Brockton Public Schools (12-044-SF-125)",2018/07/02,2018/08/09,"M,T,W,TH,F","08:00 AM - 12:15 PM",08:00:00,11:45:00," "," ","B,L"
"JAMES EDGAR PARK (SF-125-117)",Open,"197 DOVER ST"," ",BROCKTON,MA,2301,617-759-3364," ",JIM,CONNERS,781-733-6506,"Brockton Public Schools (12-044-SF-125)",2018/07/09,2018/08/23,"M,T,W,TH","09:00 AM - 10:30 AM",09:00:00," "," "," ",B
"CHAMPION CITY (SF-125-128)",Open,"175 WARREN AVE"," ",BROCKTON,MA,2301,774-223-2810," ",JOHN,WILLIAMS,774-223-2810,"Brockton Public Schools (12-044-SF-125)",2018/07/09,2018/08/16,"M,T,W,TH","10:00 AM - 01:00 PM",10:00:00,11:45:00," "," ","B,L"
